exp_dir,model,n,sampler_score,total_err,energy_ref,energy_gen,energy_err,mag_ref,mag_gen,mag_err,chi_ref,chi_gen,corr_err,chi_err,hist_energy_err,hist_mag_err,train_loss_last,val_loss_last
pixelcnn_n12_1778444579,pixelcnn,12,0.11430539935827255,7.748493194580078,-1.4719445705413818,-0.012638888321816921,,0.7555555701255798,0.10159721970558167,,38.04006576538086,0.6104707717895508,0.9875962138175964,0.9839519262313843,2.0,1.9199999570846558,4.669879734516144,1.2551959156990051
pixelcnn_n16_1778445486,pixelcnn,16,0.289205402135849,2.457750082015991,-1.4581093788146973,-1.3047969341278076,,0.7235390543937683,0.5062422156333923,,62.514892578125,36.82539749145508,0.20934700965881348,0.4109340012073517,0.6619999408721924,0.7699999809265137,12.143526703119278,2.423347383737564
transformer_n12_1778444646,transformer,12,0.39681413769721985,1.5200715065002441,-1.460694432258606,-1.1459721326828003,,0.7166666984558105,0.7390972375869751,,35.71751022338867,36.131717681884766,0.12171574681997299,0.011596761643886566,0.7200000286102295,0.42000001668930054,2.3456815481185913,0.6616386473178864
transformer_n16_1778445269,transformer,16,0.21841765940189362,3.5783843994140625,-1.4411094188690186,-0.8698437213897705,,0.7052343487739563,0.6054062247276306,,60.39729690551758,12.211965560913086,0.3046189844608307,0.7978061437606812,1.3639999628067017,0.5740000009536743,13.378667891025543,2.6772370636463165
